Season,LowerTeamID,HigherTeamID,Target,avgOffRtg_LowerTeamID,avgDefRtg_LowerTeamID,avgNetRtg_LowerTeamID,avgeFG_LowerTeamID,avgTOV_LowerTeamID,avgReb_LowerTeamID,AvgWin_LowerTeamID,Elo_LowerTeamID,Margin_LowerTeamID,Seed_LowerTeamID,avgOffRtg_HigherTeamID,avgDefRtg_HigherTeamID,avgNetRtg_HigherTeamID,avgeFG_HigherTeamID,avgTOV_HigherTeamID,avgReb_HigherTeamID,AvgWin_HigherTeamID,Elo_HigherTeamID,Margin_HigherTeamID,Seed_HigherTeamID,EloDiff,OffRtgDIff,DefRtgDiff,NetRtgDiff,TOVDiff,RebDiff,eFGDiff,SeedDiff,WinDiff,MarginDiff,interaction,ESQUARE,SeedGap,EloGap
2003,1411,1421,0,1.028998,0.991101,0.037896,0.503036,0.215143,0.521159,0.6,1522.0,59,16,1.011026,1.108901,-0.097876,0.4898,0.228101,0.491149,0.448276,1484.0,-210,16,38.0,0.017972,-0.1178,0.135772,-0.012958,0.03001,0.013235,0,0.151724,269,0.0,1444.0,0,38.0
2003,1112,1436,1,1.106236,0.917822,0.188414,0.517632,0.19013,0.541451,0.892857,1665.0,419,1,1.026347,0.957988,0.068359,0.494732,0.212863,0.55463,0.655172,1563.0,135,16,102.0,0.079889,-0.040166,0.120055,-0.022733,-0.013179,0.0229,-15,0.237685,284,1530.0,10404.0,15,102.0
2003,1113,1272,1,1.092311,0.987514,0.104796,0.517334,0.200649,0.539098,0.62069,1560.0,197,10,1.054941,0.933993,0.120948,0.498337,0.194125,0.528367,0.793103,1631.0,252,7,-71.0,0.03737,0.053522,-0.016152,0.006524,0.010731,0.018997,3,-0.172414,-55,-213.0,5041.0,3,71.0
2003,1141,1166,1,1.095576,1.01383,0.081746,0.572835,0.252913,0.522031,0.793103,1629.0,177,11,1.138237,0.930902,0.207335,0.567455,0.192564,0.51478,0.878788,1664.0,492,6,-35.0,-0.042661,0.082928,-0.125589,0.060349,0.007251,0.005381,5,-0.085684,-315,-175.0,1225.0,5,35.0
2003,1143,1301,1,1.05227,0.987088,0.065182,0.524098,0.198374,0.510786,0.724138,1587.0,137,8,1.072028,1.010275,0.061753,0.534189,0.20994,0.50102,0.6,1558.0,132,9,28.0,-0.019758,-0.023187,0.003429,-0.011567,0.009767,-0.010092,-1,0.124138,5,28.0,784.0,1,28.0
2003,1140,1163,0,1.106823,0.954734,0.152089,0.532677,0.209738,0.533899,0.741935,1613.0,272,12,1.081883,0.973841,0.108042,0.524237,0.215606,0.533981,0.7,1595.0,259,5,18.0,0.024939,-0.019107,0.044046,-0.005868,-8.1e-05,0.008439,7,0.041935,13,126.0,324.0,7,18.0
2003,1161,1181,0,1.072181,1.067651,0.00453,0.548663,0.234078,0.52545,0.566667,1548.0,40,14,1.111521,0.964937,0.146584,0.521745,0.190551,0.513407,0.8,1635.0,347,3,-87.0,-0.03934,0.102713,-0.142054,0.043528,0.012043,0.026919,11,-0.233333,-307,-957.0,7569.0,11,87.0
2003,1153,1211,0,1.027343,0.946504,0.080839,0.465465,0.159658,0.501282,0.607143,1550.0,163,8,1.103974,0.973507,0.130467,0.536146,0.208051,0.542672,0.741935,1605.0,275,9,-55.0,-0.076631,-0.027003,-0.049628,-0.048394,-0.041389,-0.070681,-1,-0.134793,-112,-55.0,3025.0,1,55.0
2003,1228,1443,1,1.105311,0.906477,0.198834,0.551888,0.191445,0.520233,0.8,1639.0,421,4,1.064491,0.953695,0.110796,0.533057,0.219352,0.516506,0.741935,1618.0,207,13,21.0,0.04082,-0.047218,0.088037,-0.027908,0.003727,0.018831,-9,0.058065,214,189.0,441.0,9,21.0
2003,1242,1429,1,1.094314,0.901852,0.192462,0.525461,0.199952,0.545713,0.766667,1639.0,449,2,1.077686,0.983928,0.093758,0.495004,0.199782,0.550844,0.733333,1588.0,176,15,51.0,0.016628,-0.082076,0.098704,0.000171,-0.005131,0.030458,-13,0.033333,273,663.0,2601.0,13,51.0
2003,1221,1266,0,1.066311,0.880082,0.186229,0.510509,0.213696,0.564031,0.862069,1644.0,323,14,1.15249,0.995806,0.156683,0.536723,0.198637,0.548263,0.821429,1642.0,300,3,2.0,-0.086179,-0.115724,0.029545,0.01506,0.015768,-0.026214,11,0.04064,23,22.0,4.0,11,2.0
2003,1281,1356,1,1.055602,0.967616,0.087986,0.507278,0.199342,0.51928,0.677419,1593.0,164,6,1.085801,1.000104,0.085697,0.526126,0.180548,0.49334,0.8,1631.0,193,11,-39.0,-0.030199,-0.032488,0.002289,0.018794,0.02594,-0.018847,-5,-0.122581,-29,-195.0,1521.0,5,39.0
2003,1323,1454,1,1.097724,0.985736,0.111988,0.519416,0.175976,0.49926,0.709677,1587.0,276,5,1.083698,0.9789,0.104798,0.54257,0.21001,0.506407,0.766667,1619.0,215,12,-32.0,0.014026,0.006836,0.00719,-0.034034,-0.007147,-0.023154,-7,-0.056989,61,-224.0,1024.0,7,32.0
2003,1328,1354,1,1.08854,0.919259,0.169281,0.512124,0.181566,0.530913,0.8,1653.0,330,1,0.998475,0.979556,0.018918,0.507974,0.26521,0.513307,0.666667,1568.0,46,16,84.0,0.090066,-0.060297,0.150363,-0.083644,0.017606,0.004149,-15,0.133333,284,1260.0,7056.0,15,84.0
2003,1360,1390,0,1.028498,0.983144,0.045355,0.537661,0.249013,0.534524,0.607143,1560.0,87,13,1.053663,0.970755,0.082908,0.505835,0.208776,0.543405,0.741935,1613.0,164,4,-53.0,-0.025165,0.012388,-0.037553,0.040237,-0.008881,0.031826,9,-0.134793,-77,-477.0,2809.0,9,53.0
2003,1173,1409,0,1.123779,1.024256,0.099523,0.522368,0.205865,0.539815,0.827586,1647.0,188,4,1.058067,0.937803,0.120264,0.519807,0.206081,0.511828,0.709677,1596.0,256,13,51.0,0.065712,0.086453,-0.020741,-0.000216,0.027987,0.002561,-9,0.117909,-68,459.0,2601.0,9,51.0
